City,State,Type,Counties,Population,Latitude,Longitude
Perryville,MO,City,Perry,8555,37.725,-89.876
Guntersville,AL,City,Marshall,8553,34.369,-86.252
Center Line,MI,City,Macomb,8552,42.481,-83.027
Othello,WA,City,Adams,8549,46.823,-119.165
Independence,KS,City,Montgomery,8548,37.233,-95.714
Taft,CA,City,Kern,8546,35.127,-119.424
Smithfield,VA,Town,Isle of Wight,8533,36.972,-76.613
Sutherlin,OR,City,Douglas,8524,43.389,-123.322
Clinton,OK,City,Washita;Custer,8521,35.506,-98.974
Kennedale,TX,City,Tarrant,8517,32.644,-97.217
Aberdeen,NC,Town,Moore,8516,35.134,-79.431
Cameron,MO,City,DeKalb;Clinton,8513,39.748,-94.237
Sallisaw,OK,City,Sequoyah,8510,35.462,-94.805
Delavan,WI,City,Walworth,8505,42.629,-88.632
Olivette,MO,City,St. Louis,8504,38.672,-90.378
Pleasant Hills,PA,Borough,Allegheny,8504,40.33,-79.96
McCordsville,IN,Town,Hancock,8503,39.905,-85.928
York,SC,City,York,8503,34.996,-81.236
Old Forge,PA,Borough,Lackawanna,8497,41.37,-75.741
Corrales,NM,Village,Sandoval,8493,35.24,-106.627
Perryton,TX,City,Ochiltree,8492,36.394,-100.797
Barre,VT,City,Washington,8491,44.201,-72.506
Los Altos Hills,CA,Town,Santa Clara,8489,37.367,-122.139
Menominee,MI,City,Menominee,8488,45.122,-87.624
Ayer,MA,Town,Middlesex,8479,42.564,-71.589
Litchfield,NH,Town,Hillsborough,8478,42.839,-71.456
Ephrata,WA,City,Grant,8477,47.313,-119.535
Cumberland,ME,Town,Cumberland,8473,43.809,-70.286
Georgetown,MA,Town,Essex,8470,42.724,-70.977
Farmingdale,NY,Village,Nassau,8466,40.733,-73.446
Fort Stockton,TX,City,Pecos,8466,30.893,-102.886
Crete,IL,Village,Will;Cook,8465,41.441,-87.624
Arab,AL,City,Cullman;Marshall,8461,34.33,-86.501
Lancaster,SC,City,Lancaster,8460,34.724,-80.779
Millis,MA,Town,Norfolk,8460,42.168,-71.363
Sitka,AK,City and Borough,Sitka,8458,57.05,-135.335
Haddam,CT,Town,Middlesex,8452,41.466,-72.548
Orrville,OH,City,Wayne,8452,40.849,-81.777
Brooklyn,CT,Town,Windham,8450,41.788,-71.95
Skiatook,OK,Town,Osage;Tulsa,8450,36.37,-96.018
Dalhart,TX,City,Hartley;Dallam,8447,36.057,-102.512
Dunn,NC,City,Harnett,8446,35.311,-78.614
Monticello,AR,City,Drew,8442,33.625,-91.794
Lancaster,MA,Town,Worcester,8441,42.486,-71.682
Madison,MI,Charter Township,Lenawee,8439,41.85,-84.077
Beebe,AR,City,White,8437,35.072,-91.901
Montvale,NJ,Borough,Bergen,8436,41.055,-74.047
Edgewood,KY,City,Kenton,8435,39.009,-84.56
Northfield,NJ,City,Atlantic,8434,39.371,-74.555
Winnemucca,NV,City,Humboldt,8431,40.964,-117.725
Warrenton,MO,City,Warren,8429,38.819,-91.135
Kenilworth,NJ,Borough,Union,8427,40.677,-74.289
Black Mountain,NC,Town,Buncombe,8426,35.615,-82.328
Conover,NC,City,Catawba,8421,35.715,-81.217
Virginia,MN,City,St. Louis,8421,47.514,-92.519
Jefferson City,TN,City,Jefferson,8419,36.12,-83.483
Flushing,MI,City,Genesee,8411,43.063,-83.843
Elwood,IN,City,Madison;Tipton,8410,40.275,-85.837
Georgetown,SC,City,Georgetown,8403,33.372,-79.281
Somers,WI,Village,Kenosha,8402,42.639,-87.91
Seabrook,NH,Town,Rockingham,8401,42.883,-70.852
Ellsworth,ME,City,Hancock,8399,44.543,-68.42
Hopkinton,RI,Town,Washington,8398,41.483,-71.756
Butner,NC,Town,Granville,8397,36.13,-78.745
Pulaski,TN,City,Giles,8397,35.193,-87.035
St Marys,OH,City,Auglaize,8397,40.548,-84.394
Oak Island,NC,Town,Brunswick,8396,33.93,-78.08
Park City,UT,City,Summit;Wasatch,8396,40.645,-111.505
Atmore,AL,City,Escambia,8391,31.131,-87.459
Houghton,MI,City,Houghton,8386,47.11,-88.569
Milliken,CO,Town,Weld,8386,40.31,-104.855
Clinton,NC,City,Sampson,8383,35,-78.332
Cohasset,MA,Town,Norfolk,8381,42.235,-70.818
Abingdon,VA,Town,Washington,8376,36.709,-81.971
Buxton,ME,Town,York,8376,43.652,-70.538
Eaton,OH,City,Preble,8375,39.75,-84.634
Newton,NJ,Town,Sussex,8374,41.053,-74.755
Denison,IA,City,Crawford,8373,42.016,-95.352
Hampton,GA,City,Henry,8368,33.386,-84.294
Gilberts,IL,Village,Kane,8366,42.109,-88.372
Long Grove,IL,Village,Lake,8366,42.195,-88.01
Miles City,MT,City,Custer,8354,46.408,-105.844
Senatobia,MS,City,Tate,8354,34.609,-89.981
Kronenwetter,WI,Village,Marathon,8353,44.821,-89.589
Upper Saddle River,NJ,Borough,Bergen,8353,41.063,-74.1
Hollis,NH,Town,Hillsborough,8342,42.749,-71.589
Waite Park,MN,City,Stearns,8341,45.52,-94.243
Jerseyville,IL,City,Jersey,8337,39.118,-90.327
Mount Rainier,MD,City,Prince George's,8333,38.943,-76.964
Park City,KS,City,Sedgwick,8333,37.807,-97.325
Trinidad,CO,City,Las Animas,8329,37.174,-104.491
Croton on Hudson,NY,Village,Westchester,8327,41.21,-73.901
Cushing,OK,City,Payne,8327,35.979,-96.76
Fruitland Park,FL,City,Lake,8325,28.859,-81.921
Mount Joy,PA,Borough,Lancaster,8325,40.111,-76.506
Runnemede,NJ,Borough,Camden,8324,39.852,-75.075
Hillside,IL,Village,Cook,8320,41.867,-87.902
Orono,MN,City,Hennepin,8315,44.961,-93.588
Wynne,AR,City,Cross,8314,35.233,-90.789
Hood River,OR,City,Hood River,8313,45.709,-121.526
Potsdam,NY,Village,St. Lawrence,8312,44.669,-74.986
Bellevue,PA,Borough,Allegheny,8311,40.494,-80.055
Princeton,IN,City,Gibson,8301,38.355,-87.578
Brookhaven,PA,Borough,Delaware,8300,39.871,-75.391
Doylestown,PA,Borough,Bucks,8300,40.314,-75.128
Pukalani,HI,Census-Designated Place,Maui,8299,20.834,-156.343
Orland,CA,City,Glenn,8298,39.746,-122.185
Altoona,WI,City,Eau Claire,8293,44.8,-91.44
Paris,IL,City,Edgar,8291,39.614,-87.689
Hondo,TX,City,Medina,8289,29.354,-99.162
Rhinelander,WI,City,Oneida,8285,45.636,-89.426
Mason,MI,City,Ingham,8283,42.581,-84.442
Rolling Hills Estates,CA,City,Los Angeles,8280,33.781,-118.325
Liberty,TX,City,Liberty,8279,30.049,-94.791
Lake Geneva,WI,City,Walworth,8277,42.583,-88.428
Bedminster,NJ,Township,Somerset,8272,40.665,-74.678
Gray,ME,Town,Cumberland,8269,43.888,-70.349
Maplewood,MO,City,St. Louis,8269,38.612,-90.324
Wytheville,VA,Town,Wythe,8265,36.953,-81.088
Stuttgart,AR,City,Arkansas,8264,34.496,-91.548
Hornell,NY,City,Steuben,8263,42.326,-77.66
Bel Aire,KS,City,Sedgwick,8262,37.775,-97.246
Minnetrista,MN,City,Hennepin,8262,44.938,-93.712
Mukwonago,WI,Village,Waukesha;Walworth,8262,42.855,-88.324
Wilson,PA,Borough,Northampton,8259,40.684,-75.242
Whitehouse,TX,City,Smith,8257,32.223,-95.222
Bellevue,OH,City,Erie;Huron;Sandusky,8249,41.274,-82.84
Castle Shannon,PA,Borough,Allegheny,8249,40.366,-80.019
Corning,CA,City,Tehama,8244,39.928,-122.182
Dormont,PA,Borough,Allegheny,8244,40.394,-80.038
Oradell,NJ,Borough,Bergen,8244,40.957,-74.033
Stayton,OR,City,Marion,8244,44.806,-122.8
Hatboro,PA,Borough,Montgomery,8238,40.177,-75.106
Pewaukee,WI,Village,Waukesha,8238,43.087,-88.253
Brentwood,MO,City,St. Louis,8233,38.619,-90.348
Bow,NH,Town,Merrimack,8229,43.128,-71.525
Sioux Center,IA,City,Sioux,8229,43.075,-96.171
Berkeley,MO,City,St. Louis,8228,38.743,-90.336
Centerville,GA,City,Houston,8228,32.633,-83.686
Hillsboro,TX,City,Hill,8221,32.008,-97.115
Maryville,IL,Village,Madison,8221,38.727,-89.966
Rawlins,WY,City,Carbon,8221,41.791,-107.239
Woodstock,CT,Town,Windham,8221,41.971,-72.023
Harrisburg,IL,City,Saline,8219,37.738,-88.546
Providence,UT,City,Cache,8218,41.703,-111.812
Price,UT,City,Carbon,8216,39.604,-110.8
Westminster,MA,Town,Worcester,8213,42.542,-71.909
Nevada,MO,City,Vernon,8212,37.845,-94.35
Sheboygan Falls,WI,City,Sheboygan,8210,43.729,-87.826
Johnstown,NY,City,Fulton,8204,43.007,-74.375
Boxford,MA,Town,Essex,8203,42.667,-71.001
Richfield,UT,City,Sevier,8201,38.763,-112.093
Ketchikan,AK,City,Ketchikan Gateway,8192,55.341,-131.645
Litchfield,CT,Town,Litchfield,8192,41.75,-73.213
Prairie View,TX,City,Waller,8184,30.086,-95.991
Brazil,IN,City,Clay,8181,39.523,-87.125
Franklin,VA,City,Franklin (city),8180,36.684,-76.941
Oak Hill,WV,City,Fayette,8179,37.985,-81.151
Union,SC,City,Union,8174,34.724,-81.625
Milan,TN,City,Gibson,8171,35.912,-88.754
Adams,MA,Town,Berkshire,8166,42.627,-73.119
Oak Brook,IL,Village,Cook;DuPage,8163,41.837,-87.953
Spotswood,NJ,Borough,Middlesex,8163,40.396,-74.39
New Prague,MN,City,Scott;Le Sueur,8162,44.546,-93.576
North Bay Village,FL,City,Miami-Dade,8159,25.849,-80.15
Oak Grove,MO,City,Lafayette;Jackson,8157,39.007,-94.128
Iowa Colony,TX,Village,Brazoria,8154,29.441,-95.418
Selah,WA,City,Yakima,8153,46.647,-120.539
Alliance,NE,City,Box Butte,8151,42.097,-102.871
Monson,MA,Town,Hampden,8150,42.089,-72.323
Templeton,MA,Town,Worcester,8149,42.573,-72.078
Carl Junction,MO,City,Jasper,8143,37.164,-94.542
Lansing,MI,Charter Township,Ingham,8143,42.738,-84.592
Kirby,TX,City,Bexar,8142,29.461,-98.386
St Francis,MN,City,Anoka;Isanti,8142,45.396,-93.386
Mahtomedi,MN,City,Washington,8138,45.07,-92.96
Carnegie,PA,Borough,Allegheny,8134,40.408,-80.086
Roxboro,NC,City,Person,8134,36.389,-78.981
Camp Hill,PA,Borough,Cumberland,8130,40.242,-76.927
Cuero,TX,City,DeWitt,8128,29.094,-97.288
Payette,ID,City,Payette,8127,44.08,-116.927
Hardyston,NJ,Township,Sussex,8125,41.105,-74.539
Scott,LA,City,Lafayette,8119,30.24,-92.095
Los Fresnos,TX,City,Cameron,8114,26.073,-97.475
Lock Haven,PA,City,Clinton,8108,41.137,-77.452
Bay Minette,AL,City,Baldwin,8107,30.883,-87.778
Dighton,MA,Town,Bristol,8101,41.838,-71.15
Antigo,WI,City,Langlade,8100,45.141,-89.155
Firebaugh,CA,City,Fresno,8096,36.854,-120.454
Orange Beach,AL,City,Baldwin,8095,30.294,-87.587
Moundsville,WV,City,Marshall,8093,39.922,-80.742
Grand Blanc,MI,City,Genesee,8091,42.929,-83.617
Lochbuie,CO,Town,Weld;Adams,8088,40.011,-104.727
Grandview Heights,OH,City,Franklin,8085,39.979,-83.04
Springfield,FL,City,Bay,8075,30.171,-85.612
Montpelier,VT,City,Washington,8074,44.26,-72.575
Pismo Beach,CA,City,San Luis Obispo,8072,35.153,-120.674
Plumsted,NJ,Township,Ocean,8072,40.061,-74.493
York,NE,City,York,8066,40.867,-97.592
Latrobe,PA,Borough,Westmoreland,8060,40.312,-79.383
Vinton,VA,Town,Roanoke,8059,37.274,-79.888
Guadalupe,CA,City,Santa Barbara,8057,34.962,-120.573
Island Lake,IL,Village,Lake;McHenry,8051,42.279,-88.199
Butler,NJ,Borough,Morris,8047,40.998,-74.349
Gypsum,CO,Town,Eagle,8040,39.638,-106.961
Livingston,MT,City,Park,8040,45.661,-110.558
Hillsdale,MI,City,Hillsdale,8036,41.928,-84.637
Duvall,WA,City,King,8034,47.735,-121.972
Wyoming,MN,City,Chisago,8032,45.34,-92.968
Westlake Village,CA,City,Los Angeles,8029,34.137,-118.817
Byram,NJ,Township,Sussex,8028,40.95,-74.72
Sequim,WA,City,Clallam,8024,48.075,-123.096
Richmond,RI,Town,Washington,8020,41.503,-71.652
Scappoose,OR,City,Columbia,8010,45.757,-122.877
Wahpeton,ND,City,Richland,8007,46.264,-96.606
Newport,AR,City,Jackson,8005,35.627,-91.235
Lihue,HI,Census-Designated Place,Kauai,8004,21.971,-159.353
Riverside,NJ,Township,Burlington,8003,40.035,-74.958
Silvis,IL,City,Rock Island,8003,41.498,-90.411
Upton,MA,Town,Worcester,8000,42.17,-71.603
Broadview,IL,Village,Cook,7998,41.858,-87.856
Charlestown,RI,Town,Washington,7997,41.395,-71.668
Winooski,VT,City,Chittenden,7997,44.494,-73.187
South Beloit,IL,City,Winnebago,7989,42.481,-89.029
Fletcher,NC,Town,Henderson,7987,35.433,-82.507
Sterling,MA,Town,Worcester,7985,42.441,-71.767
Three Rivers,MI,City,St. Joseph,7973,41.945,-85.631
Quincy,FL,City,Gadsden,7970,30.579,-84.584
South Boston,VA,Town,Halifax,7966,36.712,-78.913
Boonville,MO,City,Cooper,7964,38.956,-92.751
North Hanover,NJ,Township,Burlington,7963,40.077,-74.586
Port Jefferson,NY,Village,Suffolk,7962,40.942,-73.053
Seaford,DE,City,Sussex,7957,38.657,-75.613
Lexington,TN,City,Henderson,7956,35.655,-88.411
Fort Lupton,CO,City,Weld,7955,40.085,-104.794
Spring Hill,KS,City,Miami;Johnson,7952,38.757,-94.821
Berwick,ME,Town,York,7950,43.307,-70.851
Winslow,ME,Town,Kennebec,7948,44.529,-69.578
Kenton,OH,City,Hardin,7947,40.645,-83.61
Aransas Pass,TX,City,Aransas;San Patricio;Nueces,7941,27.89,-97.118
Lincolnshire,IL,Village,Lake,7940,42.197,-87.918
Waterboro,ME,Town,York,7936,43.589,-70.722
Woodfin,NC,Town,Buncombe,7936,35.648,-82.592
Oak Grove,KY,City,Christian,7931,36.674,-87.423
Dexter,MO,City,Stoddard,7927,36.793,-89.963
Barre,VT,Town,Washington,7923,44.183,-72.458
Jersey Village,TX,City,Harris,7921,29.892,-95.568
Woodland Park,CO,City,Teller,7920,38.999,-105.059
Ashland,WI,City,Ashland,7908,46.582,-90.871
Millersville,PA,Borough,Lancaster,7903,40.005,-76.352
Baldwinsville,NY,Village,Onondaga,7898,43.156,-76.331
Albertville,MN,City,Wright,7896,45.236,-93.663
Bernardsville,NJ,Borough,Somerset,7893,40.73,-74.593
Sunnyvale,TX,Town,Dallas,7893,32.8,-96.559
Downingtown,PA,Borough,Chester,7892,40.008,-75.702
Joshua,TX,City,Johnson,7891,32.461,-97.383
Park City,IL,City,Lake,7885,42.354,-87.892
Collinsville,OK,City,Rogers;Tulsa,7881,36.371,-95.835
West Boylston,MA,Town,Worcester,7877,42.372,-71.786
Humboldt,TN,City,Gibson;Madison,7874,35.825,-88.904
Fairfield,NJ,Township,Essex,7872,40.884,-74.309
Grove City,PA,Borough,Mercer,7871,41.157,-80.089
South Weber,UT,City,Davis,7867,41.135,-111.942
Ripon,WI,City,Fond du Lac,7863,43.844,-88.838
Rockton,IL,Village,Winnebago,7863,42.451,-89.064
Corbin,KY,City,Whitley;Knox,7856,36.933,-84.099
St Joseph,MI,City,Berrien,7856,42.099,-86.489
Campbell,OH,City,Mahoning,7852,41.078,-80.59
Bradford,PA,City,McKean,7849,41.961,-78.641
Bonner Springs,KS,City,Leavenworth;Wyandotte;Johnson,7837,39.075,-94.872
Monahans,TX,City,Ward;Winkler,7836,31.672,-103.083
Perry,IA,City,Dallas,7836,41.841,-94.098
Raritan,NJ,Borough,Somerset,7835,40.572,-74.647
Plain City,UT,City,Weber,7833,41.308,-112.094
Princeton,IL,City,Bureau,7832,41.38,-89.467
Palmyra,PA,Borough,Lebanon,7830,40.31,-76.594
Plaistow,NH,Town,Rockingham,7830,42.832,-71.093
Ewa Villages,HI,Census-Designated Place,Honolulu,7825,21.342,-158.039
Webster City,IA,City,Hamilton,7825,42.462,-93.816
Ponchatoula,LA,City,Tangipahoa,7822,30.441,-90.443
Yreka,CA,City,Siskiyou,7807,41.724,-122.632
Glen Ridge,NJ,Borough,Essex,7802,40.805,-74.205
Ripley,TN,City,Lauderdale,7800,35.746,-89.534
Jefferson,WI,City,Jefferson,7793,43.004,-88.808
Blair,NE,City,Washington,7790,41.544,-96.136
Camden,SC,City,Kershaw,7788,34.256,-80.609
Travelers Rest,SC,City,Greenville,7788,34.968,-82.441
Grand Ledge,MI,City,Clinton;Eaton,7784,42.753,-84.741
Shorewood,MN,City,Hennepin,7783,44.92,-93.566
Colonie,NY,Village,Albany,7781,42.721,-73.832
Mansfield,NJ,Township,Warren,7781,40.812,-74.919
Bloomingdale,NJ,Borough,Passaic,7777,41.035,-74.334
Charlestown,IN,City,Clark,7775,38.428,-85.672
Fanwood,NJ,Borough,Union,7774,40.642,-74.386
Brunswick,MD,City,Frederick,7762,39.318,-77.625
Mount Horeb,WI,Village,Dane,7754,43.006,-89.731
Pikeville,KY,City,Pike,7754,37.48,-82.527
Whitefish,MT,City,Flathead,7751,48.445,-114.361
Halifax,MA,Town,Plymouth,7749,41.988,-70.87
Brevard,NC,City,Transylvania,7744,35.244,-82.726
Big Rapids,MI,City,Mecosta,7727,43.699,-85.48
Hales Corners,WI,Village,Milwaukee,7720,42.941,-88.049
Marion,NC,City,McDowell,7717,35.678,-82
Shelburne,VT,Town,Chittenden,7717,44.396,-73.259
Brigantine,NJ,City,Atlantic,7716,39.427,-74.39
Wellington,KS,City,Sumner,7715,37.283,-97.39
Austell,GA,City,Douglas;Cobb,7713,33.82,-84.644
Chester,NJ,Township,Morris,7713,40.754,-74.692
Fairlawn,OH,City,Summit,7710,41.131,-81.622
Hampden,ME,Town,Penobscot,7709,44.73,-68.897
Lake Dallas,TX,City,Denton,7708,33.128,-97.023
West Bridgewater,MA,Town,Plymouth,7707,42.018,-71.033
Stanwood,WA,City,Snohomish,7705,48.245,-122.342
Siler City,NC,Town,Chatham,7702,35.724,-79.456
Albion,MI,City,Calhoun,7700,42.248,-84.759
Canfield,OH,City,Mahoning,7699,41.03,-80.767
Gilford,NH,Town,Belknap,7699,43.55,-71.383
St Johns,MI,City,Clinton,7698,43.001,-84.556
Farr West,UT,City,Weber,7691,41.301,-112.032
Providence Village,TX,Town,Denton,7691,33.232,-96.963
Clear Lake,IA,City,Cerro Gordo,7687,43.135,-93.374
Lamar,CO,City,Prowers,7687,38.08,-102.618
West Dundee,IL,Village,Kane,7686,42.111,-88.345
Severance,CO,Town,Weld,7683,40.539,-104.87
Round Lake Park,IL,Village,Lake,7680,42.349,-88.079
Ruidoso,NM,Village,Lincoln,7679,33.346,-105.668
Stratham,NH,Town,Rockingham,7669,43.016,-70.9
Hampshire,IL,Village,Kane,7667,42.116,-88.505
Buena Vista,MI,Charter Township,Saginaw,7664,43.438,-83.86
Tyrone,GA,Town,Fayette,7658,33.476,-84.595
Kill Devil Hills,NC,Town,Dare,7656,36.018,-75.672
Ludington,MI,City,Mason,7655,43.957,-86.443
Mont Belvieu,TX,City,Chambers;Liberty,7654,29.853,-94.881
Emmett,ID,City,Gem,7647,43.868,-116.489
Ilion,NY,Village,Herkimer,7646,43.011,-75.04
River Oaks,TX,City,Tarrant,7646,32.777,-97.398
Upper Deerfield,NJ,Township,Cumberland,7645,39.498,-75.216
Navasota,TX,City,Grimes,7643,30.389,-96.089
Seward,NE,City,Seward,7643,40.909,-97.096
Ellwood City,PA,Borough,Lawrence;Beaver,7642,40.862,-80.283
Dunellen,NJ,Borough,Middlesex,7637,40.59,-74.466
Ojai,CA,City,Ventura,7637,34.448,-119.247
Hubbard,OH,City,Trumbull,7636,41.159,-80.568
Clinton,SC,City,Laurens,7633,34.479,-81.862
White Oak,PA,Borough,Allegheny,7630,40.339,-79.796
Hudsonville,MI,City,Ottawa,7629,42.863,-85.862
Old Lyme,CT,Town,New London,7628,41.32,-72.303
New Albany,MS,City,Union,7626,34.492,-89.022
Wagoner,OK,City,Wagoner,7621,35.964,-95.38
Inverness,IL,Village,Cook,7616,42.115,-88.101
Lucas,TX,City,Collin,7612,33.101,-96.58
Southwest Ranches,FL,Town,Broward,7607,26.05,-80.374
Easton,CT,Town,Fairfield,7605,41.259,-73.304
Fairfax,CA,Town,Marin,7605,37.988,-122.595
Knoxville,IA,City,Marion,7595,41.319,-93.102
Farmington,ME,Town,Franklin,7592,44.675,-70.139
Pittston,PA,City,Luzerne,7591,41.328,-75.786
Williston Park,NY,Village,Nassau,7591,40.759,-73.647
Decorah,IA,City,Winneshiek,7587,43.302,-91.785
Cotati,CA,City,Sonoma,7584,38.328,-122.71
Farmington,AR,City,Washington,7584,36.037,-94.252
Independence,OH,City,Cuyahoga,7584,41.38,-81.633
Hickam Housing,HI,Census-Designated Place,Honolulu,7581,21.331,-157.954
Geneseo,NY,Village,Livingston,7574,42.799,-77.81
Middlebury,CT,Town,New Haven,7574,41.528,-73.124
London,KY,City,Laurel,7572,37.121,-84.081
Briarcliff Manor,NY,Village,Westchester,7569,41.14,-73.848
Orange,MA,Town,Franklin,7569,42.582,-72.311
Marengo,IL,City,McHenry,7568,42.247,-88.606
Wauseon,OH,City,Fulton,7568,41.553,-84.14
Ashland,VA,Town,Hanover,7565,37.76,-77.471
Hamilton,MA,Town,Essex,7561,42.622,-70.845
Mount Sterling,KY,City,Montgomery,7558,38.065,-83.949
Santa Clara,UT,City,Washington,7553,37.131,-113.657
Fort Scott,KS,City,Bourbon,7552,37.831,-94.704
Lander,WY,City,Fremont,7546,42.833,-108.731
Inverness,FL,City,Citrus,7543,28.84,-82.344
Quincy,WA,City,Grant,7543,47.234,-119.851
Dahlonega,GA,City,Lumpkin,7537,34.53,-83.98
Creston,IA,City,Union,7536,41.06,-94.365
Batesville,MS,City,Panola,7523,34.321,-89.925
Sebastopol,CA,City,Sonoma,7521,38.4,-122.828
Iron Mountain,MI,City,Dickinson,7518,45.828,-88.061
Hastings,MI,City,Barry,7514,42.65,-85.288
Breaux Bridge,LA,City,St. Martin,7513,30.283,-91.906
Pleasantville,NY,Village,Westchester,7513,41.134,-73.784
Williamstown,MA,Town,Berkshire,7513,42.686,-73.23
Eagle,CO,Town,Eagle,7511,39.634,-106.817
DuBois,PA,City,Clearfield,7510,41.122,-78.756
Waikele,HI,Census-Designated Place,Honolulu,7509,21.403,-158.006
New Cumberland,PA,Borough,Cumberland,7507,40.229,-76.878
Tell City,IN,City,Perry,7506,37.953,-86.759
Longboat Key,FL,Town,Sarasota;Manatee,7505,27.396,-82.643
Auburn,GA,City,Barrow;Gwinnett,7495,34.016,-83.831
Haddon Heights,NJ,Borough,Camden,7495,39.879,-75.066
Berlin,NJ,Borough,Camden,7489,39.792,-74.937
Thompsons Station,TN,Town,Williamson,7485,35.808,-86.9
Crookston,MN,City,Polk,7482,47.775,-96.606
Great Neck Plaza,NY,Village,Nassau,7482,40.787,-73.726
Hughson,CA,City,Stanislaus,7481,37.6,-120.866
Dunbar,WV,City,Kanawha,7480,38.37,-81.736
Oak Ridge,NC,Town,Guilford,7474,36.174,-79.992
Wickenburg,AZ,Town,Maricopa;Yavapai,7474,33.97,-112.753
Farmville,VA,Town,Prince Edward;Cumberland,7473,37.297,-78.399
Hardeeville,SC,City,Jasper,7473,32.295,-81.041
Escalon,CA,City,San Joaquin,7472,37.792,-121
Cleveland,TX,City,Liberty;Montgomery,7471,30.339,-95.1
South Berwick,ME,Town,York,7467,43.242,-70.744
North Bend,WA,City,King,7461,47.49,-121.774
Clayton,MI,Charter Township,Genesee,7460,43.001,-83.879
Marshfield,MO,City,Webster,7458,37.341,-92.911
Vandalia,IL,City,Fayette,7458,38.975,-89.111
Madras,OR,City,Jefferson,7456,44.638,-121.127
Brighton,MI,City,Livingston,7446,42.53,-83.785
Hartsville,SC,City,Darlington,7446,34.363,-80.082
McCook,NE,City,Red Willow,7446,40.199,-100.626
Thomaston,CT,Town,Litchfield,7442,41.674,-73.084
Catoosa,OK,City,Rogers;Wagoner,7440,36.182,-95.772
Page,AZ,City,Coconino,7440,36.903,-111.461
Chehalis,WA,City,Lewis,7439,46.664,-122.965
Palmyra,NJ,Borough,Burlington,7438,40.003,-75.035
Old Town,ME,City,Penobscot,7431,44.934,-68.645
Shirley,MA,Town,Middlesex,7431,42.571,-71.644
La Follette,TN,City,Campbell,7430,36.372,-84.125
Hudson Falls,NY,Village,Washington,7427,43.305,-73.582
North Riverside,IL,Village,Cook,7426,41.846,-87.826
Swainsboro,GA,City,Emanuel,7425,32.586,-82.335
Kenai,AK,City,Kenai Peninsula,7424,60.555,-151.259
Bloomfield,NM,City,San Juan,7421,36.727,-107.982
Gridley,CA,City,Butte,7421,39.362,-121.697
Arcadia,FL,City,DeSoto,7420,27.22,-81.86
Woodlake,CA,City,Tulare,7419,36.413,-119.1
Union,KY,City,Boone,7416,38.947,-84.673
Pacific,MO,City,Franklin;St. Louis,7414,38.482,-90.755
Tuttle,OK,City,Grady,7413,35.307,-97.756
Piedmont,OK,City,Canadian;Kingfisher,7402,35.675,-97.754
Trumann,AR,City,Poinsett,7399,35.676,-90.523
Caribou,ME,City,Aroostook,7396,46.86,-68.012
Charles City,IA,City,Floyd,7396,43.065,-92.674
Belle Plaine,MN,City,Scott,7395,44.618,-93.763
Commerce,GA,City,Jackson,7387,34.214,-83.476
Forest City,NC,Town,Rutherford,7377,35.333,-81.871
Cedarhurst,NY,Village,Nassau,7374,40.625,-73.728
Enoch,UT,City,Iron,7374,37.767,-113.043
Greenville,AL,City,Butler,7374,31.843,-86.637
Pocahontas,AR,City,Randolph,7371,36.264,-90.97
Bondurant,IA,City,Polk,7365,41.7,-93.455
St Johnsbury,VT,Town,Caledonia,7364,44.453,-72.012
Umatilla,OR,City,Umatilla,7363,45.917,-119.333
Belen,NM,City,Valencia,7360,34.659,-106.763
Alamo Heights,TX,City,Bexar,7357,29.483,-98.467
Washington,IA,City,Washington,7352,41.299,-91.692
Riverdale Park,MD,Town,Prince George's,7351,38.963,-76.926
New London,WI,City,Waupaca;Outagamie,7348,44.396,-88.739
Northport,NY,Village,Suffolk,7347,40.904,-73.345
Scottsburg,IN,City,Scott,7345,38.687,-85.784
Rumson,NJ,Borough,Monmouth,7343,40.362,-74.005
Newberry,FL,City,Alachua,7342,29.632,-82.59
Valley Center,KS,City,Sedgwick,7340,37.833,-97.365
Nibley,UT,City,Cache,7328,41.673,-111.845
Clewiston,FL,City,Hendry,7327,26.753,-80.939
Pelham,NY,Village,Westchester,7326,40.911,-73.808
Flatwoods,KY,City,Greenup,7325,38.523,-82.723
Pearsall,TX,City,Frio,7325,28.888,-99.099
New Paltz,NY,Village,Ulster,7324,41.75,-74.08
La Junta,CO,City,Otero,7322,37.979,-103.547
Kimberly,WI,Village,Outagamie,7320,44.267,-88.339
Lexington,VA,City,Lexington,7320,37.782,-79.444
Cumming,GA,City,Forsyth,7318,34.208,-84.134
Bellbrook,OH,City,Greene,7317,39.638,-84.085
Belmont,NH,Town,Belknap,7314,43.465,-71.478
Villa Hills,KY,City,Kenton,7310,39.066,-84.599
Macclenny,FL,City,Baker,7304,30.282,-82.125
Cottage Grove,WI,Village,Dane,7303,43.088,-89.2
Hitchcock,TX,City,Galveston,7301,29.283,-95.008
Washington,NJ,Borough,Warren,7299,40.759,-74.983
Archbald,PA,Borough,Lackawanna,7297,41.506,-75.551
Makawao,HI,Census-Designated Place,Maui,7297,20.848,-156.319
Logan,OH,City,Hocking,7296,39.538,-82.406
Lampasas,TX,City,Lampasas,7291,31.066,-98.181
Emerson,NJ,Borough,Bergen,7290,40.975,-74.023
East Hills,NY,Village,Nassau,7284,40.796,-73.629
